height,Plong,Nlong
134.4481605,114.6447398,-114.6963535
134.9498328,114.6700497,-114.721335
135.451505,114.6965608,-114.7475498
135.9531773,114.7375916,-114.7886671
136.4548495,114.8000387,-114.8517683
136.9565217,114.8540558,-114.9062202
137.458194,114.8702108,-114.9218113
137.9598662,114.8881138,-114.9391987
138.4615385,114.9524913,-115.0042902
138.9632107,115.026608,-115.0793838
139.4648829,115.0611612,-115.1138715
139.9665552,115.083612,-115.1359334
140.4682274,115.1324858,-115.1851083
140.9698997,115.1837011,-115.2366798
141.4715719,115.2043269,-115.2568514
141.9732441,115.2128151,-115.2645749
142.4749164,115.2372375,-115.2886708
142.9765886,115.2818175,-115.3334636
143.4782609,115.3421844,-115.3944582
143.9799331,115.4040435,-115.4569932
144.4816054,115.4537765,-115.5071
144.9832776,115.4962732,-115.54978
145.4849498,115.5397939,-115.5934946
145.9866221,115.5833453,-115.6372398
146.4882943,115.6220207,-115.6759939
146.9899666,115.6453381,-115.6989672
147.4916388,115.6497803,-115.7025262
147.993311,115.6661499,-115.7183312
148.4949833,115.7218756,-115.7745753
148.9966555,115.7958283,-115.8495588
149.4983278,115.8531809,-115.9075039
150,115.8583294,-115.9118289
